 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
     52  6.07E-16  9.21E-16  1.67E-15  2.37E-15  3.10E-15  3.76E-15  4.39E-15  5.01E-15  5.70E-15  6.41E-15  7.38E-15  8.42E-15  9.22E-15  1.00E-14  1.10E-14  1.17E-14  1.24E-14
     53  6.10E-16  9.16E-16  1.64E-15  2.34E-15  3.05E-15  3.73E-15  4.35E-15  4.98E-15  5.66E-15  6.37E-15  7.34E-15  8.36E-15  9.16E-15  9.98E-15  1.09E-14  1.16E-14  1.23E-14
     54  6.12E-16  9.13E-16  1.62E-15  2.31E-15  3.01E-15  3.70E-15  4.31E-15  4.95E-15  5.62E-15  6.33E-15  7.30E-15  8.31E-15  9.11E-15  9.92E-15  1.09E-14  1.15E-14  1.23E-14
     55  6.15E-16  9.09E-16  1.60E-15  2.28E-15  2.97E-15  3.67E-15  4.28E-15  4.92E-15  5.59E-15  6.29E-15  7.26E-15  8.26E-15  9.05E-15  9.87E-15  1.08E-14  1.15E-14  1.22E-14
     56  6.17E-16  9.07E-16  1.58E-15  2.25E-15  2.94E-15  3.65E-15  4.25E-15  4.90E-15  5.55E-15  6.26E-15  7.22E-15  8.20E-15  9.00E-15  9.82E-15  1.08E-14  1.14E-14  1.22E-14
     57  6.20E-16  9.04E-16  1.57E-15  2.23E-15  2.91E-15  3.63E-15  4.22E-15  4.88E-15  5.52E-15  6.23E-15  7.19E-15  8.16E-15  8.95E-15  9.77E-15  1.08E-14  1.14E-14  1.21E-14
     58  6.22E-16  9.02E-16  1.55E-15  2.21E-15  2.88E-15  3.61E-15  4.20E-15  4.86E-15  5.49E-15  6.20E-15  7.16E-15  8.11E-15  8.91E-15  9.72E-15  1.07E-14  1.14E-14  1.21E-14
     59  6.25E-16  9.01E-16  1.54E-15  2.19E-15  2.85E-15  3.60E-15  4.18E-15  4.85E-15  5.47E-15  6.17E-15  7.13E-15  8.07E-15  8.87E-15  9.68E-15  1.07E-14  1.13E-14  1.20E-14
     60  6.27E-16  9.00E-16  1.53E-15  2.18E-15  2.83E-15  3.59E-15  4.17E-15  4.84E-15  5.44E-15  6.14E-15  7.11E-15  8.03E-15  8.83E-15  9.64E-15  1.07E-14  1.13E-14  1.20E-14
     61  6.29E-16  8.99E-16  1.52E-15  2.16E-15  2.80E-15  3.58E-15  4.15E-15  4.83E-15  5.42E-15  6.12E-15  7.08E-15  7.99E-15  8.79E-15  9.60E-15  1.07E-14  1.12E-14  1.20E-14
     62  6.32E-16  8.98E-16  1.51E-15  2.15E-15  2.78E-15  3.57E-15  4.14E-15  4.83E-15  5.40E-15  6.10E-15  7.06E-15  7.96E-15  8.75E-15  9.57E-15  1.06E-14  1.12E-14  1.19E-14
     63  6.34E-16  8.98E-16  1.50E-15  2.14E-15  2.76E-15  3.57E-15  4.14E-15  4.83E-15  5.39E-15  6.08E-15  7.04E-15  7.93E-15  8.72E-15  9.54E-15  1.06E-14  1.12E-14  1.19E-14
     64  6.37E-16  8.98E-16  1.49E-15  2.13E-15  2.75E-15  3.57E-15  4.13E-15  4.83E-15  5.37E-15  6.07E-15  7.03E-15  7.90E-15  8.69E-15  9.51E-15  1.06E-14  1.11E-14  1.19E-14
     65  6.39E-16  8.98E-16  1.49E-15  2.12E-15  2.73E-15  3.57E-15  4.13E-15  4.84E-15  5.36E-15  6.06E-15  7.01E-15  7.87E-15  8.67E-15  9.48E-15  1.06E-14  1.11E-14  1.19E-14
     66  6.41E-16  8.99E-16  1.48E-15  2.12E-15  2.72E-15  3.57E-15  4.14E-15  4.85E-15  5.35E-15  6.05E-15  7.00E-15  7.85E-15  8.64E-15  9.45E-15  1.06E-14  1.11E-14  1.18E-14
     67  6.44E-16  9.00E-16  1.48E-15  2.11E-15  2.71E-15  3.58E-15  4.14E-15  4.86E-15  5.34E-15  6.04E-15  6.99E-15  7.83E-15  8.62E-15  9.43E-15  1.06E-14  1.11E-14  1.18E-14
     68  6.46E-16  9.01E-16  1.47E-15  2.11E-15  2.70E-15  3.59E-15  4.15E-15  4.88E-15  5.33E-15  6.03E-15  6.98E-15  7.81E-15  8.60E-15  9.41E-15  1.06E-14  1.10E-14  1.18E-14
     69  6.48E-16  9.02E-16  1.47E-15  2.11E-15  2.69E-15  3.60E-15  4.16E-15  4.90E-15  5.33E-15  6.03E-15  6.98E-15  7.79E-15  8.58E-15  9.39E-15  1.06E-14  1.10E-14  1.18E-14
     70  6.51E-16  9.03E-16  1.47E-15  2.11E-15  2.68E-15  3.61E-15  4.18E-15  4.93E-15  5.33E-15  6.02E-15  6.98E-15  7.78E-15  8.57E-15  9.38E-15  1.06E-14  1.10E-14  1.18E-14
