   SI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
    500 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.720E-20 1.330E-20 6.350E-20 1.680E-19 3.760E-19 3.520E-19 8.350E-19 9.460E-19 1.130E-18 1.580E-18 2.200E-18 2.390E-18
   1000 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.950E-21 6.900E-21 2.030E-20 2.430E-21 2.030E-20
   2000 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
   SS----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1 5.710E-17 6.350E-18 2.020E-18 7.430E-19 3.550E-20 6.550E-21 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     10 3.120E-16 1.140E-16 3.360E-17 8.470E-18 9.190E-19 1.760E-19 1.040E-21 2.710E-22 4.750E-23 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     50 2.640E-16 1.450E-16 8.990E-17 4.840E-17 1.290E-17 3.550E-18 1.890E-19 8.130E-20 3.280E-20 1.060E-20 4.400E-21 1.730E-21 4.700E-22 1.630E-22 0.000E+00 0.000E+00 0.000E+00
     75 2.360E-16 1.290E-16 8.360E-17 4.790E-17 1.550E-17 5.320E-18 4.270E-19 1.800E-19 8.040E-20 2.930E-20 1.340E-20 5.830E-21 1.930E-21 6.180E-22 0.000E+00 0.000E+00 0.000E+00
    100 2.170E-16 1.170E-16 7.410E-17 4.420E-17 1.650E-17 6.180E-18 7.640E-19 3.660E-19 1.590E-19 5.920E-20 2.730E-20 1.250E-20 4.120E-21 1.460E-21 0.000E+00 0.000E+00 0.000E+00
    200 1.720E-16 8.750E-17 5.470E-17 3.340E-17 1.420E-17 5.640E-18 2.540E-18 1.340E-18 6.890E-19 3.080E-19 1.540E-19 7.250E-20 2.190E-20 9.250E-21 8.510E-24 0.000E+00 0.000E+00
    500 1.170E-16 5.420E-17 3.210E-17 1.870E-17 8.350E-18 3.400E-18 4.660E-18 3.070E-18 2.030E-18 1.170E-18 6.950E-19 3.760E-19 1.570E-19 6.160E-20 1.540E-22 0.000E+00 0.000E+00
