 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   H [cm^-2]   Tot [cm^-2]
  2560.00    6.048E+12    2.010E+05    4.256E-27    2.982E+13    3.586E+13
  2558.00    6.152E+12    2.075E+05    4.258E-27    3.017E+13    3.633E+13
  2556.00    6.205E+12    2.109E+05    4.259E-27    3.035E+13    3.656E+13
  2554.00    6.312E+12    2.177E+05    4.260E-27    3.072E+13    3.703E+13
  2552.00    6.366E+12    2.213E+05    4.260E-27    3.090E+13    3.727E+13
  2550.00    6.476E+12    2.285E+05    4.262E-27    3.127E+13    3.774E+13
  2548.00    6.532E+12    2.322E+05    4.262E-27    3.145E+13    3.799E+13
  2546.00    6.645E+12    2.398E+05    4.263E-27    3.183E+13    3.847E+13
  2544.00    6.702E+12    2.437E+05    4.264E-27    3.202E+13    3.872E+13
  2542.00    6.817E+12    2.516E+05    4.265E-27    3.240E+13    3.921E+13
  2540.00    6.876E+12    2.557E+05    4.265E-27    3.259E+13    3.946E+13
  2538.00    6.994E+12    2.641E+05    4.266E-27    3.297E+13    3.997E+13
  2536.00    7.054E+12    2.684E+05    4.267E-27    3.317E+13    4.022E+13
  2534.00    7.175E+12    2.771E+05    4.268E-27    3.356E+13    4.073E+13
  2532.00    7.237E+12    2.816E+05    4.268E-27    3.375E+13    4.099E+13
  2530.00    7.360E+12    2.907E+05    4.269E-27    3.415E+13    4.151E+13
  2528.00    7.423E+12    2.954E+05    4.269E-27    3.435E+13    4.177E+13
  2526.00    7.550E+12    3.050E+05    4.270E-27    3.475E+13    4.229E+13
  2524.00    7.614E+12    3.099E+05    4.270E-27    3.495E+13    4.256E+13
  2522.00    7.743E+12    3.199E+05    4.271E-27    3.535E+13    4.309E+13
  2520.00    7.809E+12    3.250E+05    4.271E-27    3.556E+13    4.336E+13
  2518.00    7.941E+12    3.355E+05    4.272E-27    3.597E+13    4.391E+13
  2516.00    8.008E+12    3.409E+05    4.272E-27    3.617E+13    4.418E+13
  2514.00    8.144E+12    3.519E+05    4.273E-27    3.659E+13    4.473E+13
  2512.00    8.213E+12    3.575E+05    4.273E-27    3.680E+13    4.501E+13
