 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2718.00    2.081E+12    3.252E+11    5.055E+09    1.608E+13     1.761E+07
  2716.00    2.101E+12    3.284E+11    5.105E+09    1.620E+13     1.682E+07
  2714.00    2.142E+12    3.348E+11    5.204E+09    1.646E+13     1.613E+07
  2712.00    2.163E+12    3.381E+11    5.255E+09    1.658E+13     1.633E+07
  2710.00    2.205E+12    3.446E+11    5.357E+09    1.684E+13     1.570E+07
  2708.00    2.226E+12    3.480E+11    5.409E+09    1.697E+13     1.590E+07
  2706.00    2.269E+12    3.547E+11    5.513E+09    1.723E+13     1.610E+07
  2704.00    2.291E+12    3.581E+11    5.566E+09    1.736E+13     1.552E+07
  2702.00    2.335E+12    3.650E+11    5.674E+09    1.763E+13     1.572E+07
  2700.00    2.358E+12    3.685E+11    5.728E+09    1.777E+13     1.520E+07
  2698.00    2.403E+12    3.756E+11    5.838E+09    1.804E+13     1.613E+07
  2696.00    2.426E+12    3.792E+11    5.894E+09    1.817E+13     1.559E+07
  2694.00    2.473E+12    3.865E+11    6.007E+09    1.845E+13     1.654E+07
  2692.00    2.496E+12    3.902E+11    6.064E+09    1.859E+13     1.598E+07
  2690.00    2.544E+12    3.976E+11    6.180E+09    1.887E+13     1.695E+07
  2688.00    2.568E+12    4.014E+11    6.239E+09    1.901E+13     1.637E+07
  2686.00    2.617E+12    4.090E+11    6.357E+09    1.930E+13     1.736E+07
  2684.00    2.641E+12    4.129E+11    6.417E+09    1.944E+13     1.756E+07
  2682.00    2.691E+12    4.207E+11    6.538E+09    1.973E+13     1.695E+07
  2680.00    2.717E+12    4.246E+11    6.600E+09    1.988E+13     1.715E+07
  2678.00    2.768E+12    4.326E+11    6.724E+09    2.017E+13     1.818E+07
  2676.00    2.794E+12    4.366E+11    6.787E+09    2.032E+13     1.678E+07
  2674.00    2.846E+12    4.448E+11    6.914E+09    2.062E+13     1.775E+07
  2672.00    2.872E+12    4.489E+11    6.978E+09    2.077E+13     1.717E+07
  2670.00    2.926E+12    4.573E+11    7.108E+09    2.107E+13     1.737E+07
  2668.00    2.953E+12    4.615E+11    7.174E+09    2.122E+13     1.684E+07
  2666.00    3.007E+12    4.701E+11    7.306E+09    2.153E+13     1.704E+07
  2664.00    3.035E+12    4.744E+11    7.374E+09    2.169E+13     1.655E+07
  2662.00    3.091E+12    4.832E+11    7.510E+09    2.200E+13     1.611E+07
  2660.00    3.120E+12    4.876E+11    7.579E+09    2.216E+13     1.631E+07
  2658.00    3.177E+12    4.966E+11    7.718E+09    2.247E+13     1.590E+07
  2656.00    3.206E+12    5.011E+11    7.789E+09    2.263E+13     1.552E+07
  2654.00    3.265E+12    5.103E+11    7.932E+09    2.296E+13     1.572E+07
  2652.00    3.295E+12    5.150E+11    8.005E+09    2.312E+13     1.592E+07
  2650.00    3.355E+12    5.245E+11    8.152E+09    2.345E+13     1.557E+07
  2648.00    3.386E+12    5.292E+11    8.226E+09    2.362E+13     1.633E+07
  2646.00    3.448E+12    5.389E+11    8.376E+09    2.395E+13     1.596E+07
  2644.00    3.479E+12    5.438E+11    8.453E+09    2.412E+13     1.616E+07
  2642.00    3.543E+12    5.537E+11    8.607E+09    2.446E+13     1.694E+07
  2640.00    3.575E+12    5.588E+11    8.685E+09    2.464E+13     1.714E+07
  2638.00    3.640E+12    5.689E+11    8.843E+09    2.498E+13     1.734E+07
  2636.00    3.673E+12    5.741E+11    8.923E+09    2.516E+13     1.754E+07
  2634.00    3.739E+12    5.845E+11    9.084E+09    2.551E+13     1.774E+07
  2632.00    3.773E+12    5.897E+11    9.166E+09    2.569E+13     1.794E+07
  2630.00    3.841E+12    6.003E+11    9.331E+09    2.604E+13     1.814E+07
  2628.00    3.875E+12    6.057E+11    9.415E+09    2.622E+13     1.771E+07
  2626.00    3.945E+12    6.166E+11    9.583E+09    2.659E+13     1.791E+07
  2624.00    3.980E+12    6.221E+11    9.669E+09    2.677E+13     1.811E+07
  2622.00    4.051E+12    6.332E+11    9.841E+09    2.714E+13     1.770E+07
  2620.00    4.087E+12    6.388E+11    9.929E+09    2.732E+13     1.732E+07
  2618.00    4.160E+12    6.502E+11    1.011E+10    2.770E+13     1.698E+07
  2616.00    4.196E+12    6.559E+11    1.019E+10    2.788E+13     1.665E+07
  2614.00    4.271E+12    6.675E+11    1.038E+10    2.826E+13     1.636E+07
  2612.00    4.309E+12    6.734E+11    1.047E+10    2.845E+13     1.609E+07
  2610.00    4.385E+12    6.854E+11    1.065E+10    2.884E+13     1.583E+07
  2608.00    4.424E+12    6.914E+11    1.075E+10    2.903E+13     1.519E+07
  2606.00    4.502E+12    7.036E+11    1.094E+10    2.943E+13     1.539E+07
  2604.00    4.542E+12    7.098E+11    1.103E+10    2.962E+13     1.519E+07
  2602.00    4.622E+12    7.224E+11    1.123E+10    3.002E+13     1.539E+07
  2600.00    4.663E+12    7.288E+11    1.133E+10    3.022E+13     1.520E+07
  2598.00    4.745E+12    7.417E+11    1.153E+10    3.063E+13     1.540E+07
  2596.00    4.787E+12    7.482E+11    1.163E+10    3.084E+13     1.522E+07
  2594.00    4.871E+12    7.614E+11    1.183E+10    3.125E+13     1.621E+07
  2592.00    4.914E+12    7.681E+11    1.194E+10    3.146E+13     1.600E+07
  2590.00    5.001E+12    7.817E+11    1.215E+10    3.188E+13     1.662E+07
  2588.00    5.045E+12    7.885E+11    1.226E+10    3.209E+13     1.682E+07
  2586.00    5.134E+12    8.024E+11    1.247E+10    3.252E+13     1.746E+07
  2584.00    5.179E+12    8.094E+11    1.258E+10    3.274E+13     1.766E+07
  2582.00    5.270E+12    8.236E+11    1.280E+10    3.317E+13     1.741E+07
  2580.00    5.316E+12    8.308E+11    1.291E+10    3.339E+13     1.807E+07
  2578.00    5.408E+12    8.453E+11    1.314E+10    3.383E+13     1.780E+07
  2576.00    5.455E+12    8.527E+11    1.325E+10    3.406E+13     1.800E+07
  2574.00    5.550E+12    8.675E+11    1.348E+10    3.450E+13     1.775E+07
  2572.00    5.598E+12    8.750E+11    1.360E+10    3.473E+13     1.751E+07
  2570.00    5.696E+12    8.902E+11    1.384E+10    3.519E+13     1.771E+07
  2568.00    5.745E+12    8.979E+11    1.396E+10    3.542E+13     1.707E+07
  2566.00    5.844E+12    9.134E+11    1.420E+10    3.588E+13     1.688E+07
  2564.00    5.894E+12    9.213E+11    1.432E+10    3.611E+13     1.670E+07
  2562.00    5.996E+12    9.372E+11    1.457E+10    3.659E+13     1.618E+07
  2560.00    6.048E+12    9.453E+11    1.469E+10    3.682E+13     1.604E+07
  2558.00    6.152E+12    9.616E+11    1.495E+10    3.730E+13     1.559E+07
  2556.00    6.205E+12    9.699E+11    1.507E+10    3.754E+13     1.548E+07
  2554.00    6.312E+12    9.866E+11    1.533E+10    3.803E+13     1.538E+07
  2552.00    6.366E+12    9.951E+11    1.547E+10    3.828E+13     1.529E+07
  2550.00    6.476E+12    1.012E+12    1.573E+10    3.877E+13     1.549E+07
  2548.00    6.532E+12    1.021E+12    1.587E+10    3.902E+13     1.569E+07
  2546.00    6.645E+12    1.039E+12    1.614E+10    3.953E+13     1.559E+07
  2544.00    6.702E+12    1.048E+12    1.628E+10    3.978E+13     1.609E+07
  2542.00    6.817E+12    1.066E+12    1.656E+10    4.030E+13     1.629E+07
  2540.00    6.876E+12    1.075E+12    1.670E+10    4.056E+13     1.681E+07
  2538.00    6.994E+12    1.093E+12    1.699E+10    4.108E+13     1.701E+07
  2536.00    7.054E+12    1.103E+12    1.714E+10    4.134E+13     1.755E+07
  2534.00    7.175E+12    1.121E+12    1.743E+10    4.187E+13     1.740E+07
  2532.00    7.237E+12    1.131E+12    1.758E+10    4.214E+13     1.795E+07
  2530.00    7.360E+12    1.150E+12    1.788E+10    4.268E+13     1.780E+07
  2528.00    7.423E+12    1.160E+12    1.803E+10    4.295E+13     1.800E+07
  2526.00    7.550E+12    1.180E+12    1.834E+10    4.349E+13     1.786E+07
  2524.00    7.614E+12    1.190E+12    1.850E+10    4.377E+13     1.772E+07
  2522.00    7.743E+12    1.210E+12    1.881E+10    4.432E+13     1.792E+07
  2520.00    7.809E+12    1.221E+12    1.897E+10    4.460E+13     1.717E+07
  2518.00    7.941E+12    1.241E+12    1.929E+10    4.517E+13     1.737E+07
  2516.00    8.008E+12    1.252E+12    1.946E+10    4.545E+13     1.697E+07
  2514.00    8.144E+12    1.273E+12    1.978E+10    4.602E+13     1.661E+07
  2512.00    8.213E+12    1.284E+12    1.995E+10    4.631E+13     1.628E+07
  2510.00    8.351E+12    1.305E+12    2.029E+10    4.690E+13     1.597E+07
  2508.00    8.422E+12    1.316E+12    2.046E+10    4.719E+13     1.569E+07
  2506.00    8.564E+12    1.339E+12    2.081E+10    4.779E+13     1.543E+07
  2504.00    8.637E+12    1.350E+12    2.098E+10    4.809E+13     1.540E+07
  2502.00    8.783E+12    1.373E+12    2.134E+10    4.869E+13     1.560E+07
  2500.00    8.857E+12    1.384E+12    2.152E+10    4.900E+13     1.536E+07
  2498.00    9.007E+12    1.408E+12    2.188E+10    4.961E+13     1.556E+07
